series_key,window_type,window_label,stat_name,value,ci_low,ci_high,p_value,skip_reason,p_value_adjusted,flag_significant
cetes_28d,full_history,2006-09 to 2026-09,mean,6.161418983700863,6.02441610738255,6.298956615532118,,,,False
cetes_28d,full_history,2006-09 to 2026-09,median,6.25,5.7,6.54,,,,False
cetes_28d,full_history,2006-09 to 2026-09,std,2.3656442760057916,,,,,,False
cetes_28d,full_history,2006-09 to 2026-09,min,2.43,,,,,,False
cetes_28d,full_history,2006-09 to 2026-09,max,11.4,,,,,,False
cetes_28d,full_history,2006-09 to 2026-09,latest_value,6.25,,,,,,False
cetes_28d,full_history,2006-09 to 2026-09,z_score,0.037444774431048,-0.020152232708302274,0.09713320857115557,0.970130372851232,,0.997259464683621,False
cetes_28d,full_history,2006-09 to 2026-09,percentile_rank,49.90412272291467,47.026605944391186,52.78163950143816,,,,False
cetes_28d,full_history,2006-09 to 2026-09,change_zscore,-2.1317064944960875,-2.350064618733361,-1.9562250570057798,0.03303098259212556,,0.07785874468143882,False
cetes_28d,full_history,2006-09 to 2026-09,volatility_zscore,-0.32416459918161655,-0.37269031257009,-0.2717436766612339,0.7458134219337904,,0.8749477317750508,False
cetes_28d,full_history,2006-09 to 2026-09,skewness,0.5181549719135713,0.4322165424483165,0.6054201643871104,,,,False
cetes_28d,full_history,2006-09 to 2026-09,excess_kurtosis,-0.6213968463730373,-0.7399063294175342,-0.4876705808890236,,,,False
cetes_28d,full_history,2006-09 to 2026-09,jarque_bera_normality,63.468172549649495,,,1.652195529063008e-14,,7.367898980956658e-14,True
cetes_28d,full_history,2006-09 to 2026-09,ac1_trend_tau,0.3092878345002606,,,9.501626919444752e-46,,8.70982467615769e-45,True
cetes_28d,full_history,2006-09 to 2026-09,variance_trend_tau,0.36149901774052823,,,7.690031779353368e-62,,1.057379369661088e-60,True
cetes_28d,full_history,2006-09 to 2026-09,critical_slowing_down_flag,1.0,,,9.501626919444752e-46,,8.70982467615769e-45,True
cetes_28d,rolling_10y,2016-09 to 2026-09,mean,7.5553831417624515,7.368923371647509,7.744955459770114,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,median,7.4,7.21,7.51,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,std,2.1477274394727557,,,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,min,4.0,,,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,max,11.4,,,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,latest_value,6.25,,,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,z_score,-0.6077973944789331,-0.6930628772388158,-0.5229731766612575,0.5433218575865357,,0.7288463943234016,False
cetes_28d,rolling_10y,2016-09 to 2026-09,percentile_rank,25.38314176245211,21.743295019157088,29.214559386973182,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,change_zscore,-1.854867416521012,-2.0736308898859774,-1.6921527004116759,0.06361516194708883,,0.14184461785499536,False
cetes_28d,rolling_10y,2016-09 to 2026-09,volatility_zscore,-0.6219550827882209,-0.6900537244325148,-0.5567753365524316,0.5339714037690344,,0.7221744395236941,False
cetes_28d,rolling_10y,2016-09 to 2026-09,skewness,0.23094281658192375,0.12968792068509485,0.33253089604621655,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,excess_kurtosis,-0.8116051268725055,-0.9833321319277025,-0.5949439906218883,,,,False
cetes_28d,rolling_10y,2016-09 to 2026-09,jarque_bera_normality,19.07184935602657,,,7.221052998636614e-05,,0.00022912956630289258,True
cetes_28d,rolling_10y,2016-09 to 2026-09,ac1_trend_tau,0.22394399972593662,,,7.519300708706524e-12,,2.885313062643201e-11,True
cetes_28d,rolling_10y,2016-09 to 2026-09,variance_trend_tau,0.2760061893034067,,,3.193730351600836e-17,,1.646767212544181e-16,True
cetes_28d,rolling_10y,2016-09 to 2026-09,critical_slowing_down_flag,1.0,,,7.519300708706524e-12,,2.885313062643201e-11,True
cetes_28d,since_last_break,2024-10 to 2026-09,mean,7.790792079207921,7.549809405940595,8.04209900990099,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,median,7.3,7.1,7.65,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,std,1.3184177510700597,,,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,min,6.13,,,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,max,10.3,,,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,latest_value,6.25,,,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,z_score,-1.168667577448329,-1.3383328164101582,-1.027027117651062,0.24253758977713624,,0.40422931629522707,False
cetes_28d,since_last_break,2024-10 to 2026-09,percentile_rank,6.930693069306931,2.4752475247524752,12.376237623762377,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,change_zscore,-1.6009756075698265,-1.9688707126439609,-1.3514777182073174,0.10938232185453911,,0.21744678440962595,False
cetes_28d,since_last_break,2024-10 to 2026-09,volatility_zscore,-0.8195970696775952,-0.963103935465656,-0.6874327805524455,0.41244584469993506,,0.5924954025398385,False
cetes_28d,since_last_break,2024-10 to 2026-09,skewness,0.5894478223216758,0.26339976740783944,0.9482891958041247,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,excess_kurtosis,-1.054818602101798,-1.4603489150070528,-0.29221376249290176,,,,False
cetes_28d,since_last_break,2024-10 to 2026-09,jarque_bera_normality,10.423189412308123,,,0.005452970864067116,,0.014995669876184569,True
cetes_28d,since_last_break,2024-10 to 2026-09,early_warning_skipped,,,,,Only 101 observations in this window; need at least ~164 for a stable trend estimate.,,False
cpi,full_history,1969-01 to 2026-08,mean,43.90519413723386,40.47191658687685,47.10418022000359,,,,False
cpi,full_history,1969-01 to 2026-08,median,32.638491416960946,20.4764995882871,44.335516388566,,,,False
cpi,full_history,1969-01 to 2026-08,std,44.59964359585362,,,,,,False
cpi,full_history,1969-01 to 2026-08,min,0.01159484238536,,,,,,False
cpi,full_history,1969-01 to 2026-08,max,145.831,,,,,,False
cpi,full_history,1969-01 to 2026-08,latest_value,145.462,,,,,,False
cpi,full_history,1969-01 to 2026-08,z_score,2.277076623818755,2.141676159716378,2.436531467359489,0.022781650353558947,,0.05610406430354069,False
cpi,full_history,1969-01 to 2026-08,percentile_rank,99.4942196531792,98.91618497109828,99.92774566473989,,,,False
cpi,full_history,1969-01 to 2026-08,change_zscore,0.29119393651248826,0.2081359616627948,0.3836783703677209,0.7709029997038792,,0.8893916161167882,False
cpi,full_history,1969-01 to 2026-08,volatility_zscore,1.1470143721653203,1.038813221925589,1.2725427361845052,0.25137568103999297,,0.4147698737159884,False
cpi,full_history,1969-01 to 2026-08,skewness,0.6256271799645878,0.5044044670044803,0.754261009066942,,,,False
cpi,full_history,1969-01 to 2026-08,excess_kurtosis,-0.8623884252623566,-1.0358070239429285,-0.6458445362247254,,,,False
cpi,full_history,1969-01 to 2026-08,jarque_bera_normality,66.51217377170939,,,3.60632594042489e-15,,1.652899389361408e-14,True
cpi,full_history,1969-01 to 2026-08,ac1_trend_tau,-0.34963257341818604,,,1.0474774737900913e-41,,9.096514903966582e-41,True
cpi,full_history,1969-01 to 2026-08,variance_trend_tau,0.693599348388425,,,1.1114991836842259e-158,,3.056622755131621e-157,True
cpi,full_history,1969-01 to 2026-08,critical_slowing_down_flag,0.0,,,,,,False
cpi,rolling_10y,2016-08 to 2026-08,mean,117.32451806742993,114.35949200922704,120.46204983026783,,,,False
cpi,rolling_10y,2016-08 to 2026-08,median,113.899,108.114,122.948,,,,False
cpi,rolling_10y,2016-08 to 2026-08,std,17.08567196868011,,,,,,False
cpi,rolling_10y,2016-08 to 2026-08,min,89.8093334935994,,,,,,False
cpi,rolling_10y,2016-08 to 2026-08,max,145.831,,,,,,False
cpi,rolling_10y,2016-08 to 2026-08,latest_value,145.462,,,,,,False
cpi,rolling_10y,2016-08 to 2026-08,z_score,1.6468466668533208,1.4309376584048081,1.906533220999946,0.09958956650001838,,0.2028676354630004,False
cpi,rolling_10y,2016-08 to 2026-08,percentile_rank,97.10743801652893,93.80165289256199,99.58677685950414,,,,False
cpi,rolling_10y,2016-08 to 2026-08,change_zscore,-0.43317790580316085,-0.6435736005626572,-0.2361040173275389,0.6648855287012014,,0.8311069108765018,False
cpi,rolling_10y,2016-08 to 2026-08,volatility_zscore,-0.24959819264948996,-0.41918270937064644,-0.08058020142931731,0.8028980964162011,,0.9073848349909122,False
cpi,rolling_10y,2016-08 to 2026-08,skewness,0.16859845052641936,-0.11545827798328048,0.4755812055554738,,,,False
cpi,rolling_10y,2016-08 to 2026-08,excess_kurtosis,-1.3588066913229655,-1.515170222221806,-1.0665762038837923,,,,False
cpi,rolling_10y,2016-08 to 2026-08,jarque_bera_normality,9.781353092935918,,,0.007516335604130067,,0.020003151204539694,True
cpi,rolling_10y,2016-08 to 2026-08,ac1_trend_tau,0.23669261519040605,,,0.0005544664121604728,,0.0016050343509908425,True
cpi,rolling_10y,2016-08 to 2026-08,variance_trend_tau,0.2413212707763518,,,0.00043075521550860164,,0.001292265646525805,True
cpi,rolling_10y,2016-08 to 2026-08,critical_slowing_down_flag,1.0,,,0.0005544664121604728,,0.0016050343509908425,True
cpi,since_last_break,2024-10 to 2026-08,mean,141.70721739130434,140.4818967391304,142.89329347826083,,,,False
cpi,since_last_break,2024-10 to 2026-08,median,141.197,140.012,144.307,,,,False
cpi,since_last_break,2024-10 to 2026-08,std,2.9449256350623556,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,min,136.828,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,max,145.831,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,latest_value,145.462,,,,,,False
cpi,since_last_break,2024-10 to 2026-08,z_score,1.275000823107761,0.9012191776426421,1.8903575527075813,0.20230895065356624,,0.35511677508338757,False
cpi,since_last_break,2024-10 to 2026-08,percentile_rank,84.78260869565217,69.56521739130434,95.70652173913012,,,,False
cpi,since_last_break,2024-10 to 2026-08,change_zscore,-0.2842793374711718,-0.8658463698185899,0.13936995803727179,0.776196319520106,,0.8893916161167882,False
cpi,since_last_break,2024-10 to 2026-08,volatility_zscore,0.37889766994699464,-0.06574294333252072,0.9473780914903398,0.7047638545411512,,0.8463019296856696,False
cpi,since_last_break,2024-10 to 2026-08,skewness,-0.00442441183252671,-0.6928029074725418,0.6888924660708612,,,,False
cpi,since_last_break,2024-10 to 2026-08,excess_kurtosis,-1.3570179022087474,-1.7342734047288588,-0.27353640991938427,,,,False
cpi,since_last_break,2024-10 to 2026-08,jarque_bera_normality,1.6938494380822822,,,0.42873137613083767,,0.6017161441881121,False
cpi,since_last_break,2024-10 to 2026-08,early_warning_skipped,,,,,Only 23 observations in this window; need at least ~84 for a stable trend estimate.,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,mean,38.934615384615384,35.776538461538465,42.03096153846154,,,,False
debt_shrfsp_broad_pct_gdp,full_history,2000-12 to 2025-12,median,37.05,33.0,44.5,,,,False
