date,source,series_key,raw_value,value
2006-09-19,banxico,cetes_28d,7.0500,7.05
2006-09-26,banxico,cetes_28d,7.0500,7.05
2006-10-03,banxico,cetes_28d,7.0500,7.05
2006-10-10,banxico,cetes_28d,7.0600,7.06
2006-10-17,banxico,cetes_28d,7.0500,7.05
2006-10-24,banxico,cetes_28d,7.0400,7.04
2006-10-30,banxico,cetes_28d,7.0400,7.04
2006-11-07,banxico,cetes_28d,7.0400,7.04
2006-11-14,banxico,cetes_28d,7.0400,7.04
2006-11-21,banxico,cetes_28d,7.0400,7.04
2006-11-28,banxico,cetes_28d,7.0500,7.05
2006-12-05,banxico,cetes_28d,7.0400,7.04
2006-12-11,banxico,cetes_28d,7.0300,7.03
2006-12-19,banxico,cetes_28d,7.0500,7.05
2006-12-26,banxico,cetes_28d,7.0200,7.02
2007-01-02,banxico,cetes_28d,7.0100,7.01
2007-01-09,banxico,cetes_28d,7.0200,7.02
2007-01-16,banxico,cetes_28d,7.0500,7.05
2007-01-23,banxico,cetes_28d,7.0600,7.06
2007-01-30,banxico,cetes_28d,7.0500,7.05
2007-02-06,banxico,cetes_28d,7.0500,7.05
2007-02-13,banxico,cetes_28d,7.0300,7.03
2007-02-20,banxico,cetes_28d,7.0300,7.03
2007-02-27,banxico,cetes_28d,7.0500,7.05
2007-03-06,banxico,cetes_28d,7.0500,7.05
2007-03-13,banxico,cetes_28d,7.0500,7.05
2007-03-20,banxico,cetes_28d,7.0400,7.04
2007-03-27,banxico,cetes_28d,7.0300,7.03
2007-04-02,banxico,cetes_28d,7.0200,7.02
2007-04-10,banxico,cetes_28d,7.0000,7.0
2007-04-17,banxico,cetes_28d,7.0000,7.0
2007-04-24,banxico,cetes_28d,7.0000,7.0
2007-04-30,banxico,cetes_28d,7.2500,7.25
2007-05-08,banxico,cetes_28d,7.2400,7.24
2007-05-15,banxico,cetes_28d,7.2300,7.23
2007-05-22,banxico,cetes_28d,7.2400,7.24
2007-05-29,banxico,cetes_28d,7.2200,7.22
2007-06-05,banxico,cetes_28d,7.2100,7.21
2007-06-12,banxico,cetes_28d,7.2000,7.2
2007-06-19,banxico,cetes_28d,7.1800,7.18
2007-06-26,banxico,cetes_28d,7.1900,7.19
2007-07-03,banxico,cetes_28d,7.1800,7.18
2007-07-10,banxico,cetes_28d,7.1800,7.18
2007-07-17,banxico,cetes_28d,7.1900,7.19
2007-07-24,banxico,cetes_28d,7.1900,7.19
2007-07-31,banxico,cetes_28d,7.1900,7.19
2007-08-07,banxico,cetes_28d,7.1900,7.19
2007-08-14,banxico,cetes_28d,7.2100,7.21
2007-08-21,banxico,cetes_28d,7.2000,7.2
2007-08-28,banxico,cetes_28d,7.2300,7.23
2007-09-04,banxico,cetes_28d,7.2100,7.21
2007-09-11,banxico,cetes_28d,7.2000,7.2
2007-09-18,banxico,cetes_28d,7.2200,7.22
2007-09-25,banxico,cetes_28d,7.1900,7.19
2007-10-02,banxico,cetes_28d,7.1900,7.19
2007-10-09,banxico,cetes_28d,7.2100,7.21
2007-10-16,banxico,cetes_28d,7.2000,7.2
2007-10-23,banxico,cetes_28d,7.2000,7.2
2007-10-30,banxico,cetes_28d,7.4500,7.45
2007-11-06,banxico,cetes_28d,7.4300,7.43
2007-11-13,banxico,cetes_28d,7.4100,7.41
2007-11-20,banxico,cetes_28d,7.4600,7.46
2007-11-27,banxico,cetes_28d,7.4400,7.44
2007-12-04,banxico,cetes_28d,7.4400,7.44
2007-12-10,banxico,cetes_28d,7.4300,7.43
2007-12-18,banxico,cetes_28d,7.4400,7.44
2007-12-24,banxico,cetes_28d,7.4400,7.44
2007-12-31,banxico,cetes_28d,7.4300,7.43
2008-01-08,banxico,cetes_28d,7.4200,7.42
2008-01-15,banxico,cetes_28d,7.4100,7.41
2008-01-22,banxico,cetes_28d,7.3900,7.39
2008-01-29,banxico,cetes_28d,7.4300,7.43
2008-02-05,banxico,cetes_28d,7.4200,7.42
2008-02-12,banxico,cetes_28d,7.4400,7.44
2008-02-19,banxico,cetes_28d,7.4300,7.43
2008-02-26,banxico,cetes_28d,7.4200,7.42
2008-03-04,banxico,cetes_28d,7.4200,7.42
2008-03-11,banxico,cetes_28d,7.4500,7.45
2008-03-14,banxico,cetes_28d,7.4300,7.43
2008-03-25,banxico,cetes_28d,7.4300,7.43
2008-04-01,banxico,cetes_28d,7.4400,7.44
2008-04-08,banxico,cetes_28d,7.4600,7.46
